time,E1,E2,E3,E4,E5,E6
227,18,1,1,1,1,43
228,19,1,1,1,1,44
229,20,1,1,1,1,45
230,21,1,1,1,1,46
231,22,1,1,1,1,47
232,23,1,1,1,1,48
233,24,1,1,1,1,49
234,25,1,1,1,1,48
235,26,1,1,1,1,47
236,27,1,1,1,1,46
237,28,1,1,1,1,45
238,29,1,1,1,1,44
239,30,1,1,1,1,43
240,31,1,1,1,1,42
241,32,1,1,1,1,41
242,33,1,1,1,1,40
243,34,1,1,1,1,39
244,35,1,1,1,1,38
245,36,1,1,1,1,37
246,37,1,1,1,1,36
247,38,1,1,1,1,35
248,39,1,1,1,1,34
249,40,1,1,1,1,33
250,41,1,1,1,1,32
251,42,1,1,1,1,31
252,43,1,1,1,1,30
253,44,1,1,1,1,29
254,45,1,1,1,1,28
255,46,1,1,1,1,27
256,47,1,1,1,1,26
257,48,1,1,1,1,25
258,48,1,1,1,1,24
259,48,1,1,1,1,23
260,48,1,1,1,1,22
261,48,1,1,1,1,21
262,48,1,1,1,1,20
263,48,1,1,1,1,19
264,48,1,1,1,1,18
265,48,1,1,1,1,17
266,48,1,1,1,1,16
267,48,1,1,1,1,15
268,48,1,1,1,1,14
269,48,1,1,1,1,13
270,48,1,1,1,1,12
271,48,1,1,1,1,11
272,48,1,1,1,1,10
273,48,1,1,1,1,9
274,48,1,1,1,1,8
275,48,1,1,1,1,7
276,48,1,1,1,1,6
277,48,1,1,1,1,5
278,48,1,1,1,1,4
279,48,1,1,1,1,3
280,48,1,1,1,1,2
