time,E1,E2,E3,E4,E5,E6
227,25,11,11,43,5,1
228,24,12,11,44,5,1
229,23,13,11,45,5,1
230,22,14,11,46,5,1
231,21,15,11,47,5,1
232,20,16,11,48,5,1
233,19,17,11,49,5,1
234,18,18,11,49,5,1
235,17,19,11,49,5,1
236,16,20,11,49,5,1
237,15,21,11,49,5,1
238,14,22,11,49,5,1
239,13,23,11,49,5,1
240,12,24,11,49,5,1
241,11,25,11,49,5,1
242,10,26,11,49,5,1
243,9,27,11,49,5,1
244,8,28,11,49,5,1
245,7,29,11,49,5,1
246,6,30,11,49,5,1
247,5,31,11,49,5,1
248,4,32,11,49,5,1
249,3,33,11,49,5,1
250,2,34,11,49,5,1
251,1,35,11,49,5,1
252,1,36,11,49,5,1
253,1,37,11,49,5,1
254,1,38,11,49,5,1
255,1,39,11,49,5,1
256,1,40,11,49,5,1
257,1,41,11,49,5,1
258,1,42,11,49,5,1
259,1,43,11,49,5,1
260,1,44,11,49,5,1
261,1,45,11,49,5,1
262,1,46,11,49,5,1
263,1,47,11,49,5,1
264,1,48,11,49,5,1
